L1Bit	L1SeedName	PS	PS_rate	error	pure_rate	prop_rate
0	L1_SingleMuCosmics	0	0	0	0	0
1	L1_SingleMuCosmics_BMTF	0	0	0	0	0
2	L1_SingleMuCosmics_OMTF	0	0	0	0	0
3	L1_SingleMuCosmics_EMTF	0	0	0	0	0
4	L1_SingleMuOpen	63000	0	0	0	0
5	L1_SingleMu0_DQ	0	0	0	0	0
6	L1_SingleMu0_BMTF	0	0	0	0	0
7	L1_SingleMu0_OMTF	0	0	0	0	0
8	L1_SingleMu0_EMTF	0	0	0	0	0
9	L1_SingleMu3	22000	0	0	0	0
10	L1_SingleMu5	1700	257.06	181.77	128.53	192.79
11	L1_SingleMu7_DQ	0	0	0	0	0
12	L1_SingleMu7	200	899.71	340.06	771.18	835.44
13	L1_SingleMu12_DQ_BMTF	0	0	0	0	0
14	L1_SingleMu12_DQ_OMTF	0	0	0	0	0
15	L1_SingleMu12_DQ_EMTF	0	0	0	0	0
16	L1_SingleMu15_DQ	1300	0	0	0	0
17	L1_SingleMu18	210	0	0	0	0
18	L1_SingleMu20	0	0	0	0	0
19	L1_SingleMu22	1	8482.95	1044.18	1028.24	3960.02
20	L1_SingleMu22_BMTF	0	0	0	0	0
21	L1_SingleMu22_OMTF	0	0	0	0	0
22	L1_SingleMu22_EMTF	0	0	0	0	0
23	L1_SingleMu25	1	6683.53	926.84	0	2610.46
25	L1_SingleMu6er1p5	0	0	0	0	0
26	L1_SingleMu7er1p5	0	0	0	0	0
27	L1_SingleMu8er1p5	0	0	0	0	0
28	L1_SingleMu9er1p5	0	0	0	0	0
29	L1_SingleMu10er1p5	0	0	0	0	0
30	L1_SingleMu12er1p5	0	0	0	0	0
31	L1_SingleMu14er1p5	0	0	0	0	0
32	L1_SingleMu16er1p5	0	0	0	0	0
33	L1_SingleMu18er1p5	0	0	0	0	0
39	L1_DoubleMu0_OQ	0	0	0	0	0
40	L1_DoubleMu0	0	0	0	0	0
41	L1_DoubleMu0_SQ	1500	0	0	0	0
42	L1_DoubleMu0_SQ_OS	0	0	0	0	0
43	L1_DoubleMu0_Mass_Min1	0	0	0	0	0
44	L1_DoubleMu8_SQ	1	1413.82	426.28	0	355.16
45	L1_DoubleMu9_SQ	1	642.65	287.4	0	108.3
46	L1_DoubleMu_12_5	0	0	0	0	0
47	L1_DoubleMu_15_5_SQ	1	899.71	340.06	128.53	235.04
48	L1_DoubleMu_15_7	1	642.65	287.4	0	85.09
49	L1_DoubleMu_15_7_SQ	1	514.12	257.06	0	42.25
50	L1_DoubleMu_15_7_Mass_Min1	0	0	0	0	0
51	L1_DoubleMu18er2p1	1	0	0	0	0
53	L1_DoubleMu0er2p0_SQ_dR_Max1p4	0	0	0	0	0
54	L1_DoubleMu0er2p0_SQ_OS_dR_Max1p4	0	0	0	0	0
55	L1_DoubleMu0er1p5_SQ	0	0	0	0	0
56	L1_DoubleMu0er1p5_SQ_OS	450	0	0	0	0
57	L1_DoubleMu0er1p5_SQ_dR_Max1p4	1	11310.63	1205.72	5398.23	7158.29
58	L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4	1	4241.47	738.35	0	1227.37
59	L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4	1	3084.71	629.66	0	734.67
60	L1_DoubleMu4_SQ_OS	700	0	0	0	0
61	L1_DoubleMu4_SQ_OS_dR_Max1p2	1	3855.88	703.98	899.71	1749.91
62	L1_DoubleMu4p5_SQ_OS	800	0	0	0	0
63	L1_DoubleMu4p5_SQ_OS_dR_Max1p2	1	2185	529.94	0	657.4
64	L1_DoubleMu4p5er2p0_SQ_OS	80	0	0	0	0
65	L1_DoubleMu4p5er2p0_SQ_OS_Mass_Min7	1	2056.47	514.12	385.59	1089.44
66	L1_DoubleMu4p5er2p0_SQ_OS_Mass7to18	1	1413.82	426.28	0	607.45
71	L1_TripleMu0_OQ	0	0	0	0	0
72	L1_TripleMu0	0	0	0	0	0
73	L1_TripleMu0_SQ	0	0	0	0	0
74	L1_TripleMu3	0	0	0	0	0
75	L1_TripleMu3_SQ	1	1542.36	445.24	514.12	736.19
76	L1_TripleMu_5SQ_3SQ_0OQ	35	128.53	128.53	128.53	128.53
77	L1_TripleMu_5_3p5_2p5	35	0	0	0	0
78	L1_TripleMu_5_3_3	1	1670.88	463.42	385.59	682.63
79	L1_TripleMu_5_3_3_SQ	1	899.71	340.06	0	157.81
80	L1_TripleMu_5_5_3	1	642.65	287.4	0	109.61
82	L1_TripleMu_5_3p5_2p5_OQ_DoubleMu_5_2p5_OQ_OS_Mass_5to17	0	0	0	0	0
83	L1_TripleMu_5_3p5_2p5_DoubleMu_5_2p5_OS_Mass_5to17	1	899.71	340.06	0	212.43
84	L1_TripleMu_5_4_2p5_DoubleMu_5_2p5_OS_Mass_5to17	1	771.18	314.83	0	191.01
85	L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9	1	771.18	314.83	128.53	239.21
86	L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9	1	257.06	181.77	0	53.55
88	L1_QuadMu0_OQ	0	0	0	0	0
89	L1_QuadMu0	0	0	0	0	0
90	L1_QuadMu0_SQ	0	0	0	0	0
